"id" "id_2" "W2mean" "Sl2mean" "NDVI2mean" "x" "y" "site" "PredReg"
"1" 703 1 366401.931980419 46.1455993645599 0.39413991023339 23260.065686 197901.704558 "a" 1.53298733221583e-05
"2" 704 1 368842.25732146 44.8189412692172 0.404831778045622 23260.565686 197901.704558 "a" 1.27810461674638e-05
"3" 705 1 366799.314604685 46.3459612747237 0.407800694525145 23261.065686 197901.704558 "a" 1.07506903374398e-05
"4" 706 1 367474.862998008 45.3070578751811 0.396094265921665 23261.565686 197901.704558 "a" 1.52532267603871e-05
"5" 801 1 355886.996880803 48.9575037174792 0.194447172635683 23309.065686 197901.704558 "a" 0.00221433476120139
"6" 802 1 356293.014123535 48.4904306357726 0.161444095057222 23309.565686 197901.704558 "a" 0.00553109416588307
"7" 803 1 356189.440136992 48.3546367367776 0.134231693761169 23310.065686 197901.704558 "a" 0.0114981666795734
"8" 804 1 360046.356110873 46.3134238587667 0.109568220004822 23310.565686 197901.704558 "a" 0.0264061463229272
"9" 805 1 370527.340830798 39.6305859430227 0.093674680514411 23311.065686 197901.704558 "a" 0.0628666097390755
"10" 912 1 353952.54945905 55.7078217488996 0.329581075883535 23258.065686 197901.204558 "a" 5.09412197312824e-05
"11" 913 1 349419.590824183 55.0138964079015 0.341768669111944 23258.565686 197901.204558 "a" 2.97863096599112e-05
"12" 914 1 355117.353981004 52.4157686259614 0.354638239772171 23259.065686 197901.204558 "a" 2.70981640528966e-05
"13" 915 1 360004.215437979 50.2552296401195 0.378501953896622 23259.565686 197901.204558 "a" 1.76088945672219e-05
"14" 916 1 363207.438151408 47.5096269417481 0.40099056673725 23260.065686 197901.204558 "a" 1.10126897780896e-05
"15" 917 1 362538.548623678 47.7437471026567 0.409647484705115 23260.565686 197901.204558 "a" 8.43787256730359e-06
"16" 918 1 360506.315773595 48.9036147724998 0.406546898483682 23261.065686 197901.204558 "a" 8.37978370432202e-06
"17" 919 1 352491.01367919 52.1331022052134 0.397226702489299 23261.565686 197901.204558 "a" 7.53237992806686e-06
"18" 920 1 350613.798015471 53.3774191924648 0.377895148132284 23262.065686 197901.204558 "a" 1.1729850614247e-05
"19" 1013 1 349729.294757154 50.7001254407756 0.263307453394491 23308.565686 197901.204558 "a" 0.000256868150508143
"20" 1014 1 349049.631819751 50.586284587961 0.218628677988717 23309.065686 197901.204558 "a" 0.000842541670783345
"21" 1015 1 349676.247518865 50.2575577154873 0.185178451506746 23309.565686 197901.204558 "a" 0.00215598808017328
"22" 1016 1 352481.464002268 49.1446151175196 0.15522889079728 23310.065686 197901.204558 "a" 0.00551985563282801
"23" 1017 1 356621.143869064 47.4997064245794 0.132303296509691 23310.565686 197901.204558 "a" 0.0123466333976988
"24" 1018 1 365987.509525923 42.0543764569543 0.111843933341874 23311.065686 197901.204558 "a" 0.0322338671672317
"25" 1019 1 377267.403014381 38.0182675423524 0.103660199657609 23311.565686 197901.204558 "a" 0.0647201641978868
"26" 1020 1 383658.462924217 36.2584024732177 0.099345922977547 23312.065686 197901.204558 "a" 0.0940392533341645
"27" 1021 1 390838.885439978 33.7954704602966 0.099805671735268 23312.565686 197901.204558 "a" 0.124062491894068
"28" 1022 1 396297.498944536 31.0626457151198 0.10667538596222 23313.065686 197901.204558 "a" 0.13054385887016
"29" 1023 1 398610.860049617 27.4560732728592 0.108829993187335 23313.565686 197901.204558 "a" 0.135781215958642
"30" 1024 1 399547.674247263 26.1531299939121 0.112046242141096 23314.065686 197901.204558 "a" 0.130521798802087
"31" 1121 1 385598.506116509 37.7470339761645 0.274596317040711 23256.065686 197900.704558 "a" 0.000948581546531137
"32" 1122 1 376154.065411043 42.8876210958491 0.291728898420936 23256.565686 197900.704558 "a" 0.000388699810200268
"33" 1123 1 367303.752592816 47.145652366642 0.308157185970649 23257.065686 197900.704558 "a" 0.000166713618774899
"34" 1124 1 363143.673913646 48.8538804099052 0.319053412221538 23257.565686 197900.704558 "a" 0.000102690686592171
"35" 1125 1 356499.597801251 54.2262281494213 0.327443389493341 23258.065686 197900.704558 "a" 6.05625670564264e-05
"36" 1126 1 353765.134466517 55.1240251338463 0.339656775885844 23258.565686 197900.704558 "a" 3.83721904497514e-05
"37" 1127 1 356477.984391133 53.0905168542064 0.352623409264003 23259.065686 197900.704558 "a" 3.04383395532984e-05
"38" 1128 1 357790.848789821 51.5130155880455 0.377460384911764 23259.565686 197900.704558 "a" 1.63980321507683e-05
"39" 1129 1 359619.224057871 49.2134202120695 0.395787073536958 23260.065686 197900.704558 "a" 1.07990181053444e-05
"40" 1130 1 360449.240711322 47.8435302437625 0.399739274836109 23260.565686 197900.704558 "a" 1.00643036389527e-05
"41" 1131 1 353984.744385467 53.1349192593086 0.397406541094225 23261.065686 197900.704558 "a" 8.01699040826782e-06
