"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"1"	"Parameters CF 0 11_06_2020 11_15.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.621253363186144	13.3676432383076
"2"	"Parameters CF 1 11_06_2020 11_15.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.654306251495726	9.63123946334695
"3"	"Parameters CF 10 11_06_2020 11_18.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.5639503440453	5.86957228941835
"4"	"Parameters CF 100 11_06_2020 11_45.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.585694935836392	10.5145641805197
"5"	"Parameters CF 1000 10_06_2020 21_38.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.45433251066417	3.32091123960442
"6"	"Parameters CF 1001 10_06_2020 21_38.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.50575611479682	12.7176114953271
"7"	"Parameters CF 1002 10_06_2020 21_39.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.770470471937706	9.0683980958038
"8"	"Parameters CF 1003 10_06_2020 21_39.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.539881146148454	13.1874046678932
"9"	"Parameters CF 1004 10_06_2020 21_39.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.362373140938	10.3261661793251
"10"	"Parameters CF 1005 10_06_2020 21_39.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.410555169594944	8.48569782799306
"11"	"Parameters CF 1006 10_06_2020 21_40.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.456025871601877	8.07457209959894
"12"	"Parameters CF 1007 10_06_2020 21_40.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.251001011020249	12.876655139433
"13"	"Parameters CF 1008 10_06_2020 21_40.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.352940969049353	9.40485016859765
"14"	"Parameters CF 1009 10_06_2020 21_40.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.62610175207536	12.2703524206728
"15"	"Parameters CF 101 11_06_2020 11_45.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.577581884409523	7.45046755835433
"16"	"Parameters CF 1010 10_06_2020 21_40.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.468025367571182	11.71601657021
"17"	"Parameters CF 1011 10_06_2020 21_41.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.724302870310868	11.5361718882144
"18"	"Parameters CF 1012 10_06_2020 21_41.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.385066093282763	6.72412394027693
"19"	"Parameters CF 1013 10_06_2020 21_41.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.459634303207279	8.21396441858339
"20"	"Parameters CF 1014 10_06_2020 21_42.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.60573949793578	5.13507748258059
"21"	"Parameters CF 1015 10_06_2020 21_42.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.671939734694511	8.80058828248015
"22"	"Parameters CF 1016 10_06_2020 21_42.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.633580871790363	13.3524488432707
"23"	"Parameters CF 1017 10_06_2020 21_42.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.489874423537217	8.79010894975337
"24"	"Parameters CF 1018 10_06_2020 21_43.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.579480576865652	7.41392568928858
"25"	"Parameters CF 1019 10_06_2020 21_43.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.829596771775609	7.68297836092454
"26"	"Parameters CF 102 11_06_2020 11_45.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.687550338408476	9.53710135567624
"27"	"Parameters CF 1020 10_06_2020 21_43.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.593330568684594	12.095943793897
"28"	"Parameters CF 1021 10_06_2020 21_44.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.809579409369171	11.5451038635264
"29"	"Parameters CF 1022 10_06_2020 21_44.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.593736652123848	11.586866296091
"30"	"Parameters CF 1023 10_06_2020 21_45.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.632127870314387	11.2463012734138
"31"	"Parameters CF 1024 10_06_2020 21_45.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.540294933666481	5.77995790386232
"32"	"Parameters CF 1025 10_06_2020 21_45.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.605471131825839	17.5988405360342
"33"	"Parameters CF 1026 10_06_2020 21_45.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.484429705343802	9.73568427067022
"34"	"Parameters CF 1027 10_06_2020 21_46.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.6465386188495	10.6705303861531
"35"	"Parameters CF 1028 10_06_2020 21_46.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.656592335536185	9.61793959229293
"36"	"Parameters CF 1029 10_06_2020 21_46.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.58214897583636	8.44969483292879
"37"	"Parameters CF 103 11_06_2020 11_46.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.505460409799507	8.55398973964326
