"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"bi_CA"	"weight_day"
"46"	"Parameters bimodal 1038 28_11_2019 09_33.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	12.2672459775154
"47"	"Parameters bimodal 1039 28_11_2019 09_33.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	8.82443245795654
"48"	"Parameters bimodal 104 28_11_2019 09_54.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	7.88885496552073
"49"	"Parameters bimodal 1040 28_11_2019 09_35.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	8.84135234869722
"50"	"Parameters bimodal 1041 28_11_2019 09_35.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"True"	8.53350485167337
"51"	"Parameters bimodal 1042 28_11_2019 09_35.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	10.5497598207121
"52"	"Parameters bimodal 1043 28_11_2019 09_35.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	8.86452760708374
"53"	"Parameters bimodal 1044 28_11_2019 09_35.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	9.05970281945215
"54"	"Parameters bimodal 1045 28_11_2019 09_35.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	12.0451885657304
"55"	"Parameters bimodal 1046 28_11_2019 09_36.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	7.73004437548956
"56"	"Parameters bimodal 1047 28_11_2019 09_37.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	6.19944127867256
"57"	"Parameters bimodal 1048 28_11_2019 09_39.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	10.2885247663798
"58"	"Parameters bimodal 1049 28_11_2019 09_39.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	9.92528262262494
"59"	"Parameters bimodal 105 28_11_2019 09_54.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"True"	8.41094202024862
"60"	"Parameters bimodal 1050 28_11_2019 09_39.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	14.3522098182235
"61"	"Parameters bimodal 1051 28_11_2019 09_39.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"True"	9.72318586747068
"62"	"Parameters bimodal 1052 28_11_2019 09_39.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	13.1934395012151
"63"	"Parameters bimodal 1053 28_11_2019 09_39.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	18.2584498085781
"64"	"Parameters bimodal 1054 28_11_2019 09_39.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"True"	10.8995545561821
"65"	"Parameters bimodal 1055 28_11_2019 09_39.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"True"	13.5940038406123
"66"	"Parameters bimodal 1056 28_11_2019 09_39.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	12.148167846905
"67"	"Parameters bimodal 1057 28_11_2019 09_41.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	8.61313173827961
"68"	"Parameters bimodal 1058 28_11_2019 09_43.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	10.3839646440735
"69"	"Parameters bimodal 1059 28_11_2019 09_43.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	12.5761960526277
"70"	"Parameters bimodal 106 28_11_2019 09_54.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"True"	17.0911985510995
"71"	"Parameters bimodal 1060 28_11_2019 09_44.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	12.7558116650431
"72"	"Parameters bimodal 1061 28_11_2019 09_44.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"True"	11.5931680590884
"73"	"Parameters bimodal 1062 28_11_2019 09_44.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	9.96836989582606
"74"	"Parameters bimodal 1063 28_11_2019 09_44.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"True"	6.48321239519147
"75"	"Parameters bimodal 1064 28_11_2019 09_45.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	10.3253892756883
"76"	"Parameters bimodal 1065 28_11_2019 09_45.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	13.088017088931
"77"	"Parameters bimodal 1066 28_11_2019 09_45.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"True"	7.0006658469928
"78"	"Parameters bimodal 1067 28_11_2019 09_46.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	9.09784017676948
"79"	"Parameters bimodal 1068 28_11_2019 09_46.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	10.0051807488669
"80"	"Parameters bimodal 1069 28_11_2019 09_46.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	7.80352044906929
"81"	"Parameters bimodal 107 28_11_2019 09_55.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	10.2879000424128
"82"	"Parameters bimodal 1070 28_11_2019 09_46.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	10.0179085772059
"83"	"Parameters bimodal 1071 28_11_2019 09_46.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	14.4534520510263
"84"	"Parameters bimodal 1072 28_11_2019 09_48.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	10.7227844107223
"85"	"Parameters bimodal 1073 28_11_2019 09_49.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	14.4378976765538
"86"	"Parameters bimodal 1074 28_11_2019 09_49.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	10.8992591772463
"87"	"Parameters bimodal 1075 28_11_2019 09_49.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	9.48742218387114
"88"	"Parameters bimodal 1076 28_11_2019 09_49.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"True"	7.1562930043423
"89"	"Parameters bimodal 1077 28_11_2019 09_49.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"True"	6.1763403961158
"90"	"Parameters bimodal 1078 28_11_2019 09_49.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"False"	14.1604681494906
"91"	"Parameters bimodal 1079 28_11_2019 09_49.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"True"	14.3557331848484
"92"	"Parameters bimodal 108 28_11_2019 09_55.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	9.20852170118636
"93"	"Parameters bimodal 1080 28_11_2019 09_49.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	11.5793691282655
"94"	"Parameters bimodal 1081 28_11_2019 09_50.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	5.22542434397189
