"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"random"	"Output random 0 10_06_2020 17_54.txt"	13.2520053388364	86.2785938515077	335.162338217839	748.855366609428	1317.7266365159	2906.70355144164	5140.45156567371	0.143835616438356	146	0.909090909090909	0.690909090909091	0.684210526315789	0.904411764705882	0.904411764705882
"2"	"random"	"Output random 1 10_06_2020 17_54.txt"	13.4569610845607	83.7015009690775	333.357544977583	729.447848249705	1278.90477954701	2797.04234717651	4978.47275283387	0.0758620689655173	145	0.909090909090909	0.727272727272727	0.75	0.899262899262899	0.899262899262899
"3"	"random"	"Output random 10 10_06_2020 17_54.txt"	14.8893292246761	82.8771361141245	327.289293211092	743.369006240759	1302.06636568178	2886.65998169979	4985.62298515992	0.154411764705882	136	0.818181818181818	0.618181818181818	0.676470588235294	0.818181818181818	0.818181818181818
"4"	"random"	"Output random 100 10_06_2020 17_54.txt"	12.938107623199	85.1696478635764	338.73006874989	749.938985292024	1297.25699905172	2829.088694454	4992.95763086736	0.0970149253731343	134	0.927272727272727	0.663636363636364	0.602739726027397	0.929577464788732	0.929577464788732
"5"	"random"	"Output random 1000 10_06_2020 17_55.txt"	14.4464791592895	83.997706622713	332.757812477565	737.497758244772	1301.0481054472	2844.99565509103	4975.01437438599	0.105691056910569	123	0.836363636363636	0.636363636363636	0.685714285714286	0.822157434402332	0.822157434402332
"6"	"random"	"Output random 1001 10_06_2020 17_55.txt"	13.2601240851405	86.3449922488676	328.987108564463	731.120672358959	1281.30913421305	2816.60721259919	4919.82997182883	0.0982142857142857	112	0.836363636363636	0.636363636363636	0.685714285714286	0.841040462427746	0.841040462427746
"7"	"random"	"Output random 1002 10_06_2020 17_55.txt"	13.5995705542234	83.411499398972	329.554696110473	732.77388560572	1305.4491306025	2858.08691585064	4994.44780474338	0.114285714285714	175	0.890909090909091	0.654545454545455	0.638888888888889	0.87146529562982	0.87146529562982
"8"	"random"	"Output random 1003 10_06_2020 17_55.txt"	13.7312837697105	83.6382386582067	325.983212980763	731.31703538478	1293.89097090515	2853.97198313659	5044.48832411322	0.0691823899371069	159	0.909090909090909	0.709090909090909	0.717948717948718	0.91970802919708	0.91970802919708
"9"	"random"	"Output random 1004 10_06_2020 17_55.txt"	13.2692188117122	83.1345195114942	331.981188675564	744.146842425353	1307.27709408117	2894.24949939754	5089.65844881395	0.0916030534351145	131	0.909090909090909	0.709090909090909	0.717948717948718	0.899262899262899	0.899262899262899
"10"	"random"	"Output random 1005 10_06_2020 17_55.txt"	13.5306860773241	85.5980694799851	336.284057990678	740.626350145934	1310.01966329482	2933.44350619413	5159.4161693871	0.100719424460432	139	0.872727272727273	0.718181818181818	0.784810126582278	0.850267379679144	0.850267379679144
"11"	"random"	"Output random 1006 10_06_2020 17_55.txt"	13.7263330227611	83.4234586081813	330.071597231373	738.245461051238	1301.40287225507	2869.15357430713	5085.58968634202	0.118421052631579	152	0.927272727272727	0.754545454545455	0.771084337349398	0.924705882352941	0.924705882352941
"12"	"random"	"Output random 1007 10_06_2020 17_55.txt"	13.5584089023871	81.8300022969749	325.767031926673	724.651575322372	1281.50312530518	2891.73957163527	5107.09471709567	0.0757575757575758	132	0.909090909090909	0.709090909090909	0.717948717948718	0.899262899262899	0.899262899262899
"13"	"random"	"Output random 1008 10_06_2020 17_55.txt"	13.4188367466354	83.5700605910838	332.185781661902	745.320830312431	1312.80374365192	2890.79665849837	5030.72273088183	0.127118644067797	118	0.836363636363636	0.563636363636364	0.516129032258065	0.841040462427746	0.841040462427746
"14"	"random"	"Output random 1009 10_06_2020 17_55.txt"	13.4158410555023	82.641973899003	326.408788758371	723.670352492904	1272.6100269386	2843.05713143486	4999.44942031175	0.0961538461538461	156	0.890909090909091	0.709090909090909	0.743589743589744	0.893129770992366	0.893129770992366
"15"	"random"	"Output random 101 10_06_2020 17_54.txt"	14.0261795274374	84.3062501601927	326.078884079683	736.181932451202	1307.0695253749	2844.64139119636	5009.38213830959	0.156028368794326	141	0.818181818181818	0.6	0.636363636363636	0.80421686746988	0.80421686746988
"16"	"random"	"Output random 1010 10_06_2020 17_55.txt"	13.5703286248536	82.4604831119152	323.98411489145	728.552290117681	1282.59546012069	2842.38154428804	5010.3833741166	0.0675675675675675	148	0.927272727272727	0.727272727272727	0.725	0.919811320754717	0.919811320754717
"17"	"random"	"Output random 1011 10_06_2020 17_55.txt"	13.4495968949555	83.7672635376667	334.345249691302	745.227719488417	1301.25992905751	2868.57774266651	5061.89038967797	0.122302158273381	139	0.836363636363636	0.672727272727273	0.756756756756757	0.828488372093023	0.828488372093023
"18"	"random"	"Output random 1012 10_06_2020 17_55.txt"	13.2030855956593	84.627092143654	330.156961902138	737.132001955035	1303.89993889877	2876.54093532872	5015.63520572439	0.047244094488189	127	0.890909090909091	0.654545454545455	0.638888888888889	0.887755102040816	0.887755102040816
"19"	"random"	"Output random 1013 10_06_2020 17_55.txt"	13.8380334675168	84.4283527639219	326.355289434417	725.346450999613	1282.49062472089	2856.22190158324	5004.35114807942	0.0909090909090909	121	0.8	0.572727272727273	0.603174603174603	0.806962025316456	0.806962025316456
"20"	"random"	"Output random 1014 10_06_2020 17_55.txt"	13.2615377210783	82.8530091635055	321.595838969217	727.495832833829	1292.24050226085	2839.83388909035	4985.58208499353	0.146341463414634	123	0.890909090909091	0.618181818181818	0.558823529411765	0.882352941176471	0.882352941176471
"21"	"random"	"Output random 1015 10_06_2020 17_55.txt"	13.9780798919201	84.3121588075878	327.882636871932	733.566487242588	1287.35283966728	2884.91373134786	5086.50350306582	0.0866141732283464	127	0.890909090909091	0.636363636363636	0.6	0.882352941176471	0.882352941176471
"22"	"random"	"Output random 1016 10_06_2020 17_55.txt"	14.3435254064624	84.9744565288347	332.454903926095	748.404412457086	1319.17757743918	2920.69882341393	5130.69115020581	0.103225806451613	155	0.927272727272727	0.790909090909091	0.827586206896552	0.929577464788732	0.929577464788732
"23"	"random"	"Output random 1017 10_06_2020 17_55.txt"	14.4818340258384	83.7354497197672	329.350369598137	740.020939274462	1313.30196637358	2907.69693037254	5145.86653668366	0.0888888888888889	135	0.981818181818182	0.763636363636364	0.714285714285714	0.981132075471698	0.981132075471698
"24"	"random"	"Output random 1018 10_06_2020 17_55.txt"	14.0392932047587	82.9206800650801	329.42941489527	735.417792126866	1289.41491624194	2884.15205541112	5080.50817837951	0.0634920634920635	126	0.909090909090909	0.654545454545455	0.611111111111111	0.909535452322738	0.909535452322738
"25"	"random"	"Output random 1019 10_06_2020 17_55.txt"	14.419723675208	86.432679491634	334.86776279222	753.669277145155	1333.21612316203	2901.93526558355	5102.0746372219	0.0431654676258992	139	0.927272727272727	0.718181818181818	0.708860759493671	0.919811320754717	0.919811320754717
"26"	"random"	"Output random 102 10_06_2020 17_54.txt"	13.3772563364372	83.5327626820078	326.647773773224	724.503222540885	1270.03879362364	2845.37680064457	5027.47031397195	0.0727272727272728	110	0.836363636363636	0.6	0.606060606060606	0.822157434402332	0.822157434402332
"27"	"random"	"Output random 1020 10_06_2020 17_55.txt"	13.7940989941969	83.6750836000379	327.571229187786	733.760931008579	1293.19345080236	2837.3562006037	4951.93676425609	0.111111111111111	135	0.818181818181818	0.654545454545455	0.75	0.777777777777778	0.777777777777778
"28"	"random"	"Output random 1021 10_06_2020 17_55.txt"	13.7650867494363	83.574720993698	327.770704393875	733.871191136219	1286.84671862465	2837.82804683195	5000.9854734971	0.08	125	0.872727272727273	0.654545454545455	0.666666666666667	0.900783289817232	0.900783289817232
"29"	"random"	"Output random 1022 10_06_2020 17_55.txt"	13.4177518060158	84.936479694928	335.722115122416	744.044171900752	1301.3165633971	2867.10293401286	5059.82754905354	0.082089552238806	134	0.927272727272727	0.736363636363636	0.740740740740741	0.929577464788732	0.929577464788732
"30"	"random"	"Output random 1023 10_06_2020 17_55.txt"	14.1726262096836	83.6563567744018	328.876970104024	725.814635361131	1276.51027396927	2816.00964842756	4893.29659657462	0.0952380952380952	147	0.909090909090909	0.654545454545455	0.611111111111111	0.904411764705882	0.904411764705882
"31"	"random"	"Output random 1024 10_06_2020 17_55.txt"	14.0525657541104	86.7642908678524	343.080733254852	750.412553863396	1309.15863594916	2838.27235937309	4894.51863940828	0.101449275362319	138	0.854545454545454	0.681818181818182	0.746666666666667	0.837988826815642	0.837988826815642
"32"	"random"	"Output random 1025 10_06_2020 17_55.txt"	14.1874426729185	88.0323612346664	335.220108793571	744.490970730956	1305.86472896249	2829.99905277925	5011.58536110313	0.075187969924812	133	0.890909090909091	0.627272727272727	0.579710144927536	0.890862944162436	0.890862944162436
