"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"bottom-up"	"Output bottom-up 0 10_06_2020 17_59.txt"	29.8511224625323	145.795066762553	437.132083757413	888.959772243785	1520.63895383105	3212.23885683776	5168.71407720629	0.0680272108843537	147	0.909090909090909	0.727272727272727	0.75	0.899262899262899	0.899262899262899
"2"	"bottom-up"	"Output bottom-up 1 10_06_2020 17_59.txt"	31.3020880562849	143.570705428219	426.939166811474	875.769248282886	1499.72524120341	3153.9637322429	5223.63243196077	0.0763888888888888	144	0.8	0.654545454545455	0.777777777777778	0.862385321100917	0.862385321100917
"3"	"bottom-up"	"Output bottom-up 10 10_06_2020 17_59.txt"	28.2052152280307	140.017588646457	441.416949435209	897.012500370176	1542.08120706469	3191.59740428045	5219.04377348085	0.147887323943662	142	0.854545454545454	0.663636363636364	0.712328767123288	0.867768595041322	0.867768595041322
"4"	"bottom-up"	"Output bottom-up 100 10_06_2020 18_00.txt"	29.2051304518884	141.392441156944	435.38468050577	893.152680573241	1544.16145981112	3223.53267503409	5234.36007027129	0.0342465753424658	146	0.818181818181818	0.654545454545455	0.75	0.826347305389222	0.826347305389222
"5"	"bottom-up"	"Output bottom-up 1000 10_06_2020 18_04.txt"	31.3875543047886	144.654520642942	428.848948146345	890.405638608738	1547.18900079227	3215.01626425954	5198.66232444808	0.0970149253731343	134	0.854545454545454	0.681818181818182	0.746666666666667	0.847645429362881	0.847645429362881
"6"	"bottom-up"	"Output bottom-up 1001 10_06_2020 18_04.txt"	31.5897224586677	145.275987857202	443.748366660145	898.93402301067	1527.95490965709	3238.62635737455	5205.68721397185	0.130434782608696	138	0.818181818181818	0.572727272727273	0.571428571428571	0.830357142857143	0.830357142857143
"7"	"bottom-up"	"Output bottom-up 1002 10_06_2020 18_04.txt"	29.7343196070787	147.19883868969	443.597234873692	922.023120070944	1589.29339748895	3217.61492333202	5177.4633390816	0.105263157894737	114	0.709090909090909	0.581818181818182	0.78125	0.738095238095238	0.738095238095238
"8"	"bottom-up"	"Output bottom-up 1003 10_06_2020 18_04.txt"	31.374282337034	151.600349382946	470.785744666967	969.097192336844	1628.1785552294	3182.20059142492	4990.72425361494	0.0813008130081301	123	0.745454545454545	0.6	0.757575757575758	0.763440860215054	0.763440860215054
"9"	"bottom-up"	"Output bottom-up 1004 10_06_2020 18_04.txt"	29.7103763195451	140.72380401241	440.049097083709	937.088074634764	1612.29491160821	3310.38201432235	5261.02560594201	0.111888111888112	143	0.872727272727273	0.6	0.545454545454545	0.900783289817232	0.900783289817232
"10"	"bottom-up"	"Output bottom-up 1005 10_06_2020 18_04.txt"	30.8854939716219	145.729974311921	436.291247443024	922.044214708807	1594.4942420558	3213.15145995958	5222.65771064595	0.1	130	0.709090909090909	0.572727272727273	0.761904761904762	0.764478764478765	0.764478764478765
"11"	"bottom-up"	"Output bottom-up 1006 10_06_2020 18_04.txt"	32.390686181369	153.175878637865	435.120571466359	878.589872916856	1521.20369516625	3194.71665988711	5222.29143513196	0.113636363636364	132	0.8	0.627272727272727	0.72463768115942	0.792993630573248	0.792993630573248
"12"	"bottom-up"	"Output bottom-up 1007 10_06_2020 18_04.txt"	32.273789211553	153.025295584205	449.845648112158	908.20187010365	1530.43158497162	3159.85845695836	5244.64835954102	0.142857142857143	140	0.745454545454545	0.581818181818182	0.71875	0.78169014084507	0.78169014084507
"13"	"bottom-up"	"Output bottom-up 1008 10_06_2020 18_04.txt"	29.9978100173833	144.361955620083	439.094958579431	918.843574317164	1549.11950620783	3166.74371159438	5193.50182556751	0.141843971631206	141	0.836363636363636	0.590909090909091	0.584615384615385	0.851002865329513	0.851002865329513
"14"	"bottom-up"	"Output bottom-up 1009 10_06_2020 18_04.txt"	29.6329030387995	141.382222334892	444.322471353601	920.080794820888	1570.05169501207	3190.39249352564	5139.13621890973	0.104	125	0.872727272727273	0.645454545454545	0.647887323943662	0.880952380952381	0.880952380952381
"15"	"bottom-up"	"Output bottom-up 101 10_06_2020 18_00.txt"	28.0278779243439	138.757330312878	431.090022497041	902.037420613129	1572.870313438	3196.56390512352	5214.77932408675	0.130434782608696	138	0.818181818181818	0.545454545454545	0.5	0.841791044776119	0.841791044776119
"16"	"bottom-up"	"Output bottom-up 1010 10_06_2020 18_04.txt"	31.1009701891071	145.672091259175	431.961939770872	895.832180840529	1533.46144558415	3183.05194842644	5192.9327421626	0.11038961038961	154	0.818181818181818	0.663636363636364	0.767123287671233	0.858407079646018	0.858407079646018
"17"	"bottom-up"	"Output bottom-up 1011 10_06_2020 18_04.txt"	30.7474520557699	144.442103964138	434.235382739117	893.140556213993	1535.45525095943	3135.16910781847	5207.7488172304	0.118881118881119	143	0.818181818181818	0.645454545454545	0.732394366197183	0.85459940652819	0.85459940652819
"18"	"bottom-up"	"Output bottom-up 1012 10_06_2020 18_04.txt"	31.4421311851166	145.788631908805	436.809341356092	906.785436732585	1527.83558681328	3126.57096945963	5159.66648698531	0.0992366412213741	131	0.872727272727273	0.654545454545455	0.666666666666667	0.86737400530504	0.86737400530504
"19"	"bottom-up"	"Output bottom-up 1013 10_06_2020 18_04.txt"	29.837867104751	141.864311054887	440.080280613367	918.507594657662	1567.53657397295	3198.77442070799	5213.94659658465	0.0909090909090909	132	0.781818181818182	0.6	0.696969696969697	0.774834437086093	0.774834437086093
"20"	"bottom-up"	"Output bottom-up 1014 10_06_2020 18_04.txt"	29.5753534568362	141.268725360332	425.724364767915	863.059694123513	1494.31780262637	3159.15458402631	5304.93246407999	0.124087591240876	137	0.818181818181818	0.609090909090909	0.656716417910448	0.848214285714286	0.848214285714286
"21"	"bottom-up"	"Output bottom-up 1015 10_06_2020 18_04.txt"	32.5572993724801	152.556958755373	435.647712660417	915.721760556555	1571.80295645553	3068.26257324494	5066.74195172672	0.1	140	0.854545454545454	0.618181818181818	0.617647058823529	0.85	0.85
"22"	"bottom-up"	"Output bottom-up 1016 10_06_2020 18_04.txt"	30.9275642914046	145.168550797041	452.024544158875	924.708614400843	1583.75352539913	3243.70373675628	5194.54075257651	0.0592592592592592	135	0.890909090909091	0.663636363636364	0.657534246575342	0.882352941176471	0.882352941176471
"23"	"bottom-up"	"Output bottom-up 1017 10_06_2020 18_04.txt"	28.9693726997688	138.97853044192	429.401955848611	877.014056917051	1503.80598650241	3194.86552899682	5273.71763234464	0.104166666666667	144	0.909090909090909	0.7	0.701298701298701	0.924757281553398	0.924757281553398
"24"	"bottom-up"	"Output bottom-up 1018 10_06_2020 18_04.txt"	29.5737096971339	145.552739452828	462.512088116131	953.103273244746	1616.4200554193	3268.11121014586	5164.06584036364	0.0928571428571429	140	0.8	0.627272727272727	0.72463768115942	0.780952380952381	0.780952380952381
"25"	"bottom-up"	"Output bottom-up 1019 10_06_2020 18_04.txt"	33.2392539439653	156.933590612206	461.989561662758	922.988350332751	1617.5194826742	3342.50796148238	5240.03125553505	0.096	125	0.836363636363636	0.627272727272727	0.666666666666667	0.809384164222874	0.809384164222874
"26"	"bottom-up"	"Output bottom-up 102 10_06_2020 18_00.txt"	31.4389547984243	152.98054979509	475.297332358947	961.446092693095	1621.91767264395	3258.01339956755	5172.24447369131	0.122137404580153	131	0.854545454545454	0.654545454545455	0.694444444444444	0.844011142061281	0.844011142061281
