"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"conspec-attraction"	"Output conspec-attraction 0 10_06_2020 21_07.txt"	16.0084741968692	98.8892400895506	379.228507737919	807.382030238686	1367.4264048093	2837.39293228843	4969.60127173325	0.115942028985507	138	0.872727272727273	0.681818181818182	0.72	0.858288770053476	0.858288770053476
"2"	"conspec-attraction"	"Output conspec-attraction 1 10_06_2020 21_07.txt"	15.1990398288582	94.5415787770867	347.021584484934	738.142171060308	1279.69514517737	2795.38796717565	4990.75007192137	0.0880503144654088	159	0.945454545454546	0.781818181818182	0.790697674418605	0.945945945945946	0.945945945945946
"3"	"conspec-attraction"	"Output conspec-attraction 10 10_06_2020 21_07.txt"	17.875120311378	107.301682421447	377.949207192759	795.465375503731	1355.9512819258	2872.21076610407	4950.68367123499	0.0416666666666666	144	0.872727272727273	0.663636363636364	0.684931506849315	0.858288770053476	0.858288770053476
"4"	"conspec-attraction"	"Output conspec-attraction 100 10_06_2020 21_12.txt"	15.8202846398055	94.3108815719507	356.132775638607	768.895027003788	1326.21601341727	2885.68743464425	4974.13291411685	0.0984848484848485	132	0.890909090909091	0.672727272727273	0.675675675675676	0.887755102040816	0.887755102040816
"5"	"conspec-attraction"	"Output conspec-attraction 1000 10_06_2020 21_08.txt"	17.3748322872739	104.255328047534	382.563686059338	821.027671438438	1405.44097281158	3000.35652051116	5141.78436791176	0.0763888888888888	144	0.854545454545454	0.681818181818182	0.746666666666667	0.847645429362881	0.847645429362881
"6"	"conspec-attraction"	"Output conspec-attraction 1001 10_06_2020 21_08.txt"	46.3590086503692	221.431827409758	594.45301417726	1135.32929385332	1936.82709320117	3511.15810522465	4908.60398989007	0.089171974522293	157	0.818181818181818	0.627272727272727	0.695652173913043	0.873529411764706	0.873529411764706
"7"	"conspec-attraction"	"Output conspec-attraction 1002 10_06_2020 21_08.txt"	17.225569196865	102.087991446461	358.702351058418	758.722883143816	1335.26335734013	2941.51065215743	5132.53356829346	0.0970149253731343	134	0.909090909090909	0.654545454545455	0.611111111111111	0.909535452322738	0.909535452322738
"8"	"conspec-attraction"	"Output conspec-attraction 1003 10_06_2020 21_08.txt"	14.7642540224443	91.0731653112832	344.070095619283	761.811022661072	1338.32110886056	2902.60211070308	5136.45941692662	0.11864406779661	118	0.854545454545454	0.618181818181818	0.617647058823529	0.853591160220994	0.853591160220994
"9"	"conspec-attraction"	"Output conspec-attraction 1004 10_06_2020 21_08.txt"	35.9795125943022	169.573100289043	495.949000795071	1010.4970565269	1717.92303648177	3353.73007877901	5030.82094279245	0.0909090909090909	132	0.909090909090909	0.654545454545455	0.611111111111111	0.914634146341463	0.914634146341463
"10"	"conspec-attraction"	"Output conspec-attraction 1005 10_06_2020 21_08.txt"	38.2231106300939	186.031912125506	563.276449874529	1126.89145950287	1889.40563755485	3503.17877700246	5051.4180473786	0.0972222222222222	144	0.763636363636364	0.6	0.727272727272727	0.81	0.81
"11"	"conspec-attraction"	"Output conspec-attraction 1006 10_06_2020 21_08.txt"	14.6393334604929	90.6779793983055	340.98687737312	756.609998610815	1317.32974359368	2922.25181288385	5143.94340651941	0.075187969924812	133	0.945454545454546	0.736363636363636	0.716049382716049	0.943438914027149	0.943438914027149
"12"	"conspec-attraction"	"Output conspec-attraction 1007 10_06_2020 21_08.txt"	72.3971622931305	325.389462929561	698.275977676799	1142.43735310681	1863.79116595554	3518.88960392922	4882.44891370638	0.153374233128834	163	0.745454545454545	0.572727272727273	0.698412698412698	0.80565371024735	0.80565371024735
"13"	"conspec-attraction"	"Output conspec-attraction 1008 10_06_2020 21_08.txt"	38.9139622685424	188.73259230688	554.426346374231	1090.92264368995	1806.79697631842	3449.18522261641	5139.74674193928	0.103225806451613	155	0.854545454545454	0.663636363636364	0.712328767123288	0.865384615384615	0.865384615384615
"14"	"conspec-attraction"	"Output conspec-attraction 1009 10_06_2020 21_08.txt"	15.1246943961336	91.8474840188508	347.026362566152	757.706258779597	1313.7422386664	2841.33343791698	4959.70028857771	0.117241379310345	145	0.890909090909091	0.672727272727273	0.675675675675676	0.876923076923077	0.876923076923077
"15"	"conspec-attraction"	"Output conspec-attraction 101 10_06_2020 21_12.txt"	85.5715630952987	375.335122252624	754.859474845625	1328.66962684918	2187.65100441703	3521.14913202623	4642.99593460776	0.1171875	128	0.745454545454545	0.581818181818182	0.71875	0.78397212543554	0.78397212543554
"16"	"conspec-attraction"	"Output conspec-attraction 1010 10_06_2020 21_08.txt"	20.4404978435688	116.569337022333	408.607239447158	821.476209937376	1323.4163586858	2995.48269076737	5580.65655141886	0.107913669064748	139	0.909090909090909	0.663636363636364	0.63013698630137	0.924757281553398	0.924757281553398
"17"	"conspec-attraction"	"Output conspec-attraction 1011 10_06_2020 21_08.txt"	18.3829465503872	110.981671318782	384.815307087489	782.046599090772	1338.75732764331	2911.15583737965	4882.96732780359	0.0833333333333334	156	0.836363636363636	0.709090909090909	0.82051282051282	0.853448275862069	0.853448275862069
"18"	"conspec-attraction"	"Output conspec-attraction 1012 10_06_2020 21_08.txt"	52.9006207928581	247.08036720044	637.341115021704	1142.52549229218	1837.14236265514	3485.5635041506	4894.85486850647	0.0909090909090909	143	0.763636363636364	0.609090909090909	0.746268656716418	0.800675675675676	0.800675675675676
