"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"1"	"Parameters conspec-attraction 0 28_11_2019 09_14.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	12.4391193146269
"2"	"Parameters conspec-attraction 1 28_11_2019 09_14.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	13.3132433284354
"3"	"Parameters conspec-attraction 10 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	6.45069486160901
"4"	"Parameters conspec-attraction 100 28_11_2019 09_19.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	10.7697780057953
"5"	"Parameters conspec-attraction 1000 28_11_2019 09_14.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	10.8023077227309
"6"	"Parameters conspec-attraction 1001 28_11_2019 09_14.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	11.9542190797676
"7"	"Parameters conspec-attraction 1002 28_11_2019 09_14.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	12.7312050670276
"8"	"Parameters conspec-attraction 1003 28_11_2019 09_14.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	14.8621410529414
"9"	"Parameters conspec-attraction 1004 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	11.1420549770828
"10"	"Parameters conspec-attraction 1005 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	7.66479180652546
"11"	"Parameters conspec-attraction 1006 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	6.47248470918659
"12"	"Parameters conspec-attraction 1007 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	6.38919289190835
"13"	"Parameters conspec-attraction 1008 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	6.27337373335176
"14"	"Parameters conspec-attraction 1009 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	8.21218038775961
"15"	"Parameters conspec-attraction 101 28_11_2019 09_19.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	8.17037052187682
"16"	"Parameters conspec-attraction 1010 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	7.72481097390974
"17"	"Parameters conspec-attraction 1011 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	9.67811189865578
"18"	"Parameters conspec-attraction 1012 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.5323232774178
"19"	"Parameters conspec-attraction 1013 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	2.78188056341112
"20"	"Parameters conspec-attraction 1014 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	7.49444725568781
"21"	"Parameters conspec-attraction 1015 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.67209752469319
"22"	"Parameters conspec-attraction 1016 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	7.55849724159687
"23"	"Parameters conspec-attraction 1017 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	13.4871150016392
"24"	"Parameters conspec-attraction 1018 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	10.1553116324885
"25"	"Parameters conspec-attraction 1019 28_11_2019 09_15.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	12.6545477375196
"26"	"Parameters conspec-attraction 102 28_11_2019 09_19.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	10.7158226890129
"27"	"Parameters conspec-attraction 1020 28_11_2019 09_15.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	10.524377361907
"28"	"Parameters conspec-attraction 1021 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	6.55556570516195
"29"	"Parameters conspec-attraction 1022 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	11.5435096927384
"30"	"Parameters conspec-attraction 1023 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	10.8703227973431
"31"	"Parameters conspec-attraction 1024 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.491330011309
"32"	"Parameters conspec-attraction 1025 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	9.72995628089322
"33"	"Parameters conspec-attraction 1026 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	11.4004143599823
"34"	"Parameters conspec-attraction 1027 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	12.6648262882737
"35"	"Parameters conspec-attraction 1028 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	13.861564091154
"36"	"Parameters conspec-attraction 1029 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	11.5705071247941
"37"	"Parameters conspec-attraction 103 28_11_2019 09_19.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	10.6679955045142
"38"	"Parameters conspec-attraction 1030 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	12.4820857959197
"39"	"Parameters conspec-attraction 1031 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	13.3041426114632
"40"	"Parameters conspec-attraction 1032 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	8.37990093590517
"41"	"Parameters conspec-attraction 1033 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	3.2720222014096
"42"	"Parameters conspec-attraction 1034 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	12.0481701687682
"43"	"Parameters conspec-attraction 1035 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	7.97702261394199
"44"	"Parameters conspec-attraction 1036 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	10.4789195116031
"45"	"Parameters conspec-attraction 1037 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	13.2716221598808
"46"	"Parameters conspec-attraction 1038 28_11_2019 09_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	11.114843331745
"47"	"Parameters conspec-attraction 1039 28_11_2019 09_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	7.6984419501307
