"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"46"	"Parameters CF 1038 21_04_2020 21_27.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.758502421766808	5.70221090167816
"47"	"Parameters CF 1039 21_04_2020 21_27.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.63127583281208	12.399465020787
"48"	"Parameters CF 104 21_04_2020 21_50.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.434149798024223	14.4211869356248
"49"	"Parameters CF 1040 21_04_2020 21_28.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.61331484071514	11.6252863250385
"50"	"Parameters CF 1041 21_04_2020 21_28.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.520572754575896	11.9705462223053
"51"	"Parameters CF 1042 21_04_2020 21_28.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.566760420202648	8.03978955334366
"52"	"Parameters CF 1043 21_04_2020 21_28.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.603027541123902	15.2572741430677
"53"	"Parameters CF 1044 21_04_2020 21_29.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.575907424718767	9.09037442991389
"54"	"Parameters CF 1045 21_04_2020 21_29.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.664369051999586	8.03969506195745
"55"	"Parameters CF 1046 21_04_2020 21_29.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.545956918148199	7.95198269338491
"56"	"Parameters CF 1047 21_04_2020 21_30.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.541079757062906	16.6940130352883
"57"	"Parameters CF 1048 21_04_2020 21_30.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.72812467554817	13.8879705754586
"58"	"Parameters CF 1049 21_04_2020 21_30.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.537608072408131	11.9541065009397
"59"	"Parameters CF 105 21_04_2020 21_50.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.617128243870832	8.15583511586647
"60"	"Parameters CF 1050 21_04_2020 21_30.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.440874125006501	10.0063207887307
