"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"CF"	"Output CF 0 11_06_2020 11_15.txt"	37.474221527311	182.131472226185	517.813198109751	1055.44951453958	1797.75778338239	3429.12182566743	5104.27051087957	0.469387755102041	147	0.688888888888889	0.488888888888889	0.590909090909091	0.732954545454545	0.732954545454545
"2"	"CF"	"Output CF 1 11_06_2020 11_15.txt"	38.4899006179927	189.179661349283	533.164839575489	1055.39163860498	1776.1623694555	3332.37832962878	5013.74675595609	0.522058823529412	136	0.490909090909091	0.345454545454545	0.578947368421053	0.613636363636364	0.613636363636364
"3"	"CF"	"Output CF 10 11_06_2020 11_18.txt"	33.6962079943701	160.262963699112	471.902582030887	966.96590723364	1636.1838696641	3268.53705363993	5188.27233957692	0.394736842105263	152	0.781818181818182	0.581818181818182	0.65625	0.767441860465116	0.767441860465116
"4"	"CF"	"Output CF 100 11_06_2020 11_45.txt"	34.4084392457905	163.303553096498	481.974045057574	944.944864567152	1619.14948654188	3270.74929326397	5124.25780859874	0.443609022556391	133	0.745454545454545	0.463636363636364	0.392156862745098	0.741818181818182	0.741818181818182
"5"	"CF"	"Output CF 1000 10_06_2020 21_38.txt"	36.1966576531325	163.481277845428	469.565350610135	973.009399528652	1658.17614720534	3306.93648034841	5028.81830122155	0.372262773722628	137	0.709090909090909	0.463636363636364	0.470588235294118	0.676229508196721	0.676229508196721
"6"	"CF"	"Output CF 1001 10_06_2020 21_38.txt"	19.3847555136238	112.295916051762	404.136736442045	849.886623557278	1450.66473428077	3164.38800299163	5237.92682639696	0.338582677165354	127	0.745454545454545	0.490909090909091	0.481481481481481	0.711678832116788	0.711678832116788
"7"	"CF"	"Output CF 1002 10_06_2020 21_39.txt"	24.6735612701023	125.199041256064	409.825995332585	847.503569462288	1467.05455169627	3150.0771335538	5232.21015103196	0.518796992481203	133	0.545454545454545	0.409090909090909	0.666666666666667	0.531914893617021	0.531914893617021
"8"	"CF"	"Output CF 1003 10_06_2020 21_39.txt"	27.7364658704741	142.672502910875	429.27733100099	875.452187446822	1524.94032794641	3204.73866064007	5347.19072909477	0.524096385542169	166	0.690909090909091	0.481818181818182	0.566037735849057	0.699152542372881	0.699152542372881
"9"	"CF"	"Output CF 1004 10_06_2020 21_39.txt"	18.5030421006187	102.721966912603	370.362084039163	795.018546916304	1376.06226887614	3022.82716467813	5216.85983324826	0.3	130	0.727272727272727	0.554545454545455	0.688524590163934	0.761194029850746	0.761194029850746
"10"	"CF"	"Output CF 1005 10_06_2020 21_39.txt"	37.3269621984094	165.100074398436	459.869861116626	924.052384911854	1517.31969917355	3087.09522504743	5049.67930381723	0.314685314685315	143	0.727272727272727	0.509090909090909	0.571428571428571	0.703125	0.703125
"11"	"CF"	"Output CF 1006 10_06_2020 21_40.txt"	43.7938608100106	214.487028856649	595.407150652512	1081.41090959731	1769.17972701119	3384.95691894708	4952.56384130249	0.364341085271318	129	0.618181818181818	0.436363636363636	0.583333333333333	0.710144927536232	0.710144927536232
"12"	"CF"	"Output CF 1007 10_06_2020 21_40.txt"	17.9249081723287	105.236959768847	374.461252529018	792.096609037648	1363.75740114748	3050.15584301914	5285.46111165459	0.181818181818182	143	0.836363636363636	0.627272727272727	0.666666666666667	0.828488372093023	0.828488372093023
"13"	"CF"	"Output CF 1008 10_06_2020 21_40.txt"	20.0977930168133	118.589754029597	404.44992078927	852.147327381394	1488.01151577477	3159.80818892371	5396.71537260076	0.287878787878788	132	0.745454545454545	0.545454545454545	0.633333333333333	0.828671328671329	0.828671328671329
"14"	"CF"	"Output CF 1009 10_06_2020 21_40.txt"	34.3845441073288	157.191462620367	483.976461917923	1004.79931994683	1663.7326348155	3249.40185620048	5129.27293824686	0.45	140	0.727272727272727	0.472727272727273	0.461538461538462	0.755639097744361	0.755639097744361
"15"	"CF"	"Output CF 101 11_06_2020 11_45.txt"	38.9665478593338	184.272947110072	502.43239440522	995.901980713449	1725.61876148857	3380.26369295969	5205.13292175055	0.48062015503876	129	0.6	0.409090909090909	0.533333333333333	0.654255319148936	0.654255319148936
