"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"bi_CA"	"weight_day"
"1"	"Parameters bimodal 0 10_06_2020 21_35.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	9.60769659683341
"2"	"Parameters bimodal 1 10_06_2020 21_36.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	8.10643877315829
"3"	"Parameters bimodal 10 10_06_2020 21_37.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"False"	7.83214576066221
"4"	"Parameters bimodal 100 10_06_2020 21_54.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	4.01930801948212
"5"	"Parameters bimodal 1000 10_06_2020 21_36.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	9.7519457786329
"6"	"Parameters bimodal 1001 10_06_2020 21_36.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"True"	15.9419317415278
"7"	"Parameters bimodal 1002 10_06_2020 21_36.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	11.6007017793633
"8"	"Parameters bimodal 1003 10_06_2020 21_36.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	13.8710253263178
"9"	"Parameters bimodal 1004 10_06_2020 21_37.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	7.47977265996927
"10"	"Parameters bimodal 1005 10_06_2020 21_37.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	14.1449349063145
"11"	"Parameters bimodal 1006 10_06_2020 21_37.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	15.4511976379036
"12"	"Parameters bimodal 1007 10_06_2020 21_37.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	13.105843136826
"13"	"Parameters bimodal 1008 10_06_2020 21_38.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	11.1828144279983
"14"	"Parameters bimodal 1009 10_06_2020 21_38.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	12.7180538104702
"15"	"Parameters bimodal 101 10_06_2020 21_54.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	11.5002540812644
"16"	"Parameters bimodal 1010 10_06_2020 21_38.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	7.24272534430917
"17"	"Parameters bimodal 1011 10_06_2020 21_38.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	8.76136877337798
"18"	"Parameters bimodal 1012 10_06_2020 21_38.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	10.1489428296385
"19"	"Parameters bimodal 1013 10_06_2020 21_38.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	10.5746281503405
"20"	"Parameters bimodal 1014 10_06_2020 21_39.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"False"	12.2551134357874
"21"	"Parameters bimodal 1015 10_06_2020 21_39.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"True"	12.7462486019028
"22"	"Parameters bimodal 1016 10_06_2020 21_39.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	7.656146822988
"23"	"Parameters bimodal 1017 10_06_2020 21_39.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	12.4300338777857
"24"	"Parameters bimodal 1018 10_06_2020 21_40.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	6.36357550221868
"25"	"Parameters bimodal 1019 10_06_2020 21_40.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	13.5559816028115
"26"	"Parameters bimodal 102 10_06_2020 21_55.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	8.69128605338626
"27"	"Parameters bimodal 1020 10_06_2020 21_40.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	5.46049307593849
"28"	"Parameters bimodal 1021 10_06_2020 21_40.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	11.9075480371998
"29"	"Parameters bimodal 1022 10_06_2020 21_40.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"True"	7.07952939587585
"30"	"Parameters bimodal 1023 10_06_2020 21_41.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	12.6642918774224
"31"	"Parameters bimodal 1024 10_06_2020 21_41.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	11.5073129122539
"32"	"Parameters bimodal 1025 10_06_2020 21_41.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	9.84723861223422
"33"	"Parameters bimodal 1026 10_06_2020 21_41.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	5.02445150896979
"34"	"Parameters bimodal 1027 10_06_2020 21_42.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	9.83925640763158
"35"	"Parameters bimodal 1028 10_06_2020 21_42.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"True"	12.2049240280403
"36"	"Parameters bimodal 1029 10_06_2020 21_42.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	8.56790304187141
"37"	"Parameters bimodal 103 10_06_2020 21_55.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"True"	8.5006604960575
"38"	"Parameters bimodal 1030 10_06_2020 21_42.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	6.16403625621374
"39"	"Parameters bimodal 1031 10_06_2020 21_43.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	11.2938461824966
"40"	"Parameters bimodal 1032 10_06_2020 21_43.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	11.6258351674513
"41"	"Parameters bimodal 1033 10_06_2020 21_43.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	12.3111309179819
"42"	"Parameters bimodal 1034 10_06_2020 21_44.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	13.2577363979843
"43"	"Parameters bimodal 1035 10_06_2020 21_44.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	9.80085896515869
"44"	"Parameters bimodal 1036 10_06_2020 21_44.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"False"	15.8454326875779
"45"	"Parameters bimodal 1037 10_06_2020 21_44.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"True"	9.3267903220774
"46"	"Parameters bimodal 1038 10_06_2020 21_44.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	13.6458928284987
"47"	"Parameters bimodal 1039 10_06_2020 21_44.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	10.068277592267
"48"	"Parameters bimodal 104 10_06_2020 21_55.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	10.2566674578525
"49"	"Parameters bimodal 1040 10_06_2020 21_44.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	9.91217282996965
"50"	"Parameters bimodal 1041 10_06_2020 21_44.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	8.54509169470403
"51"	"Parameters bimodal 1042 10_06_2020 21_45.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	4.05709923004205
"52"	"Parameters bimodal 1043 10_06_2020 21_45.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	13.8574179936208
"53"	"Parameters bimodal 1044 10_06_2020 21_45.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	10.1181482584391
"54"	"Parameters bimodal 1045 10_06_2020 21_45.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"False"	10.8395329163686
"55"	"Parameters bimodal 1046 10_06_2020 21_45.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	11.1433329098005
