"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"0"	"2"	"4"	"6"	"8"	"10"	"12"	"14"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"CF"	"Output CF 0 21_04_2020 21_17.txt"	25.3232386304563	148.082294913765	461.913700613405	929.023439589625	1565.94561803358	3231.56887724659	5347.99754475483	0.962411059447278	0.977917176852043	0.898292584237802	0.937331374187394	1.02628329029816	1.07180720712705	0.918967169070554	1.10274355273069	0.441176470588235	136	0.690909090909091	0.463636363636364	0.509803921568627	0.686440677966102	0.686440677966102
"2"	"CF"	"Output CF 1 21_04_2020 21_17.txt"	44.89918954366	235.290202034343	777.342994575327	1526.17146390471	2337.03897743355	3914.95213163954	5049.45806993872	0.759255289916286	0.864105067559955	1.08640713977042	0.935440981038347	0.920326850522924	0.893984606320487	0.995941354486346	0.837398252112532	0.410958904109589	146	0.654545454545455	0.454545454545455	0.56	0.743362831858407	0.743362831858407
"3"	"CF"	"Output CF 10 21_04_2020 21_20.txt"	29.7160942079508	162.239660594285	527.73640411874	1031.24822586636	1679.80085532927	3478.53456996943	5251.22338288458	1.079913125276	1.04134939490179	0.85514206017807	0.961543465444073	1.02798382719123	1.03132952252348	0.873438393101927	0.935406765621062	0.467213114754098	122	0.727272727272727	0.445454545454545	0.36734693877551	0.72972972972973	0.72972972972973
"4"	"CF"	"Output CF 100 21_04_2020 21_48.txt"	56.0560047529483	300.837463300763	918.938307117307	1670.49924542689	2463.25759987128	3991.59923722766	5345.70574358011	1.05102213372274	0.930030907012746	1.01118406493485	1.04938392510617	1.06028149291619	1.04659647373311	0.925506620304884	0.981980574456773	0.457746478873239	142	0.509090909090909	0.363636363636364	0.6	0.73469387755102	0.73469387755102
"5"	"CF"	"Output CF 1000 21_04_2020 21_17.txt"	23.5345655826412	127.859693708026	424.79261583696	890.420362085389	1535.59135002112	3252.40262728116	5348.44572612605	0.427661970895151	1.29835948207127	0.898904181879854	0.763137872613596	0.928599254663088	0.871326203584782	1.10423758423111	0.906285228628524	0.431034482758621	116	0.672727272727273	0.454545454545455	0.52	0.675675675675676	0.675675675675676
"6"	"CF"	"Output CF 1001 21_04_2020 21_17.txt"	23.260809871447	124.734697556384	444.727160765576	962.643818145398	1615.86833765008	3310.09724679281	5186.93859957697	1.24854585941091	1.21180586235994	1.00058040040063	0.948871948059068	0.997506863706335	1.00264009063223	1.01103976200399	0.93403765901297	0.422360248447205	161	0.872727272727273	0.6	0.545454545454545	0.86968085106383	0.86968085106383
"7"	"CF"	"Output CF 1002 21_04_2020 21_18.txt"	48.9722695273168	251.905271574581	786.181848183053	1471.36293311876	2258.58784059764	3867.68381386643	5363.86828191906	0.822630336419646	1.15536096603652	1.00377404966647	0.909505406172363	0.91835047498002	0.896529464655335	0.966132448304634	1.12857445360983	0.388489208633094	139	0.545454545454545	0.418181818181818	0.695652173913043	0.805714285714286	0.805714285714286
"8"	"CF"	"Output CF 1003 21_04_2020 21_18.txt"	44.7313099224563	222.683789859773	713.080842246187	1395.79348827768	2148.52404584154	3801.96304178723	5318.25956602677	0.874945649388929	1.08762946128873	0.923916692972979	0.828269434293793	0.941148035266368	0.948559762781761	0.920590214684155	0.794895338835624	0.365079365079365	126	0.690909090909091	0.490909090909091	0.592592592592593	0.743801652892562	0.743801652892562
"9"	"CF"	"Output CF 1004 21_04_2020 21_18.txt"	42.5859392140665	220.615927919286	715.486360454079	1411.37158564561	2204.567225424	3816.5682969594	5178.8339000711	0.824232432788458	0.924086961766495	0.971165812799405	0.974405761213699	0.972698878229482	1.06201773147453	0.976468994299532	0.993440387850948	0.4453125	128	0.563636363636364	0.390909090909091	0.558139534883721	0.654545454545455	0.654545454545455
"10"	"CF"	"Output CF 1005 21_04_2020 21_18.txt"	38.3070253351884	199.307124094451	633.080518686778	1238.27715592802	1950.09849506284	3603.92662509284	5491.15014928743	1.11916780285162	0.894808022230319	1.06089950918961	1.11380139021146	0.882292750224808	1.06599256497079	0.898907803245724	0.98726132623862	0.644444444444444	135	0.490909090909091	0.3	0.363636363636364	0.580645161290323	0.580645161290323
"11"	"CF"	"Output CF 1006 21_04_2020 21_19.txt"	28.0162332634281	158.927765057584	505.620538200314	1014.07967284274	1671.94880048145	3377.00337381113	5370.42774244599	1.40228694600383	1.04301077170264	1.06644217067958	0.983161169666737	0.899424179051597	1.07282648062261	0.955950357017985	1.05025120844506	0.437086092715232	151	0.709090909090909	0.509090909090909	0.607142857142857	0.735177865612648	0.735177865612648
"12"	"CF"	"Output CF 1007 21_04_2020 21_19.txt"	29.0138240931299	165.829114875811	553.335210665481	1099.23755749259	1798.07845762771	3497.72877766597	5363.95696716209	0.724360961271076	1.06611683892706	0.932411244864463	1.01072369487242	1.0452026619169	0.838831976205632	0.894489814809719	0.993632917095305	0.484375	128	0.654545454545455	0.427272727272727	0.468085106382979	0.699551569506726	0.699551569506726
"13"	"CF"	"Output CF 1008 21_04_2020 21_19.txt"	46.1636136571591	235.888638684585	744.560538598983	1435.19390094371	2197.03069012971	3809.66207337445	5403.93846819488	2.03391977718779	0.938173073354093	0.952935258125084	0.885820977064332	0.928755082169468	1.01267315580303	0.973073599631636	0.961747972612523	0.445205479452055	146	0.727272727272727	0.481818181818182	0.490566037735849	0.735632183908046	0.735632183908046
